round,rank,shpNm,sido,sigungu,addr,autoManual,lat,lot,ltShpId
1043,1,복권판매점(행복드림),경기,양평군,경기 양평군  강남로 1016 나동 4호,수동,37.480452,127.48493,14140468
1043,1,로또명당,경기,시흥시,경기 시흥시  신현로 21-1 101호,자동,37.407069,126.7871,14110093
1043,1,행복한사람들 (흥부네),경기,광주시,경기 광주시  경충대로 763,자동,37.369896,127.3039,14100793
1043,1,신라슈퍼,경북,포항시 남구,경북 포항시 남구  일월로 112,자동,35.987902,129.44535,14700074
1043,1,행복마트,경북,김천시,경북 김천시  혁신로 185 메타폴리스 메타폴리스상가 120호,자동,36.11752,128.18394,14710173
1043,1,GS25(덕산제일점),경남,창원시 진해구,경남 창원시 진해구  충장로 505,자동,35.144205,128.70132,14800081
1043,1,진양호,경남,진주시,경남 진주시  남강로 58 1층,자동,35.162899,128.03945,14830021
1043,1,천하명당복권방,경남,거제시,경남 거제시  옥포성안로 60,자동,34.891701,128.69484,14800027
1044,1,황금대박점,서울,노원구,서울 노원구  공릉로 328,자동,37.636002,127.07103,11100936
1044,1,역전휴게마트,광주,북구,광주 북구  무등로 240,자동,35.163961,126.90962,12990044
1044,1,복권판매점,대전,서구,대전 서구  계백로 1153 지산프리지엄빌딩111호,자동,36.305139,127.3514,13040083
1044,1,초이스 로또,울산,남구,울산 남구  화합로125번길 9 CU달동초이스점내,자동,35.535593,129.33924,13140044
1044,1,속초등대로또복권,강원,속초시,강원 속초시  영금정로 23,자동,38.212731,128.59906,14220003
1044,1,잉크와복권방,충남,천안시 동남구,충남 천안시 동남구  차돌로 84,수동,36.802076,127.13941,14490015
1044,1,로또명당인주점,충남,아산시,충남 아산시  서해로 519-2,수동,36.877624,126.89693,14410015
1044,1,복권명당,충남,공주시,충남 공주시  번영1로 41,자동,36.471857,127.13309,14490004
1045,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),자동,37.482063,127.015788,51100000
1045,1,과자종합상사,서울,구로구,서울 구로구  경인로33길 82,자동,37.501505,126.850853,11100328
1045,1,복권나라,대구,달성군,대구 달성군  논공읍 논공중앙로 106,수동,35.726823,128.44764,12790018
1045,1,로또복권,대구,달성군,대구 달성군  현풍중앙로 21 세븐일레븐 내,자동,35.691471,128.446477,12710091
1045,1,하나복권,인천,남동구,인천 남동구  구월로 281 세븐일레븐편의점내,자동,37.455931,126.72197,12800156
1045,1,돈벼락맞는곳,대전,서구,대전 서구  복수남로 16,자동,36.297783,127.37957,13040007
1045,1,노다지복권방,대전,대덕구,대전 대덕구  신탄진로 211,자동,36.39926,127.422859,13090004
1045,1,복돼지복권방,경기,화성시,경기 화성시  3.1만세로 43,자동,37.082827,126.81873,14110478
1045,1,동행복권,경기,양주시,경기 양주시  독바위로 79-13 c동 10호,수동,37.835077,127.06513,14140865
1045,1,사랑복권방,경기,시흥시,경기 시흥시  장현능곡로 155 지하1층 B1055호,자동,37.371052,126.807314,14141828
1045,1,행복미니슈퍼,경기,부천시,경기 부천시  부일로 409,반자동,37.487138,126.77563,14100407
1045,1,복권마트,강원,홍천군,강원 홍천군  홍천로 409 1층,자동,37.691271,127.8899,14290054
1045,1,대박의터,강원,춘천시,강원 춘천시  영서로 1786,자동,37.836273,127.76013,14290046
1046,1,아킬복권,인천,부평구,인천 부평구  부영로 4 1층,수동,37.485817,126.71824,12800082
1046,1,용꿈돼지꿈,인천,부평구,인천 부평구  동암남로 11,수동,37.470994,126.70483,12890029
1046,1,복돼지복권방,경기,화성시,경기 화성시  3.1만세로 43,자동,37.082827,126.81873,14110478
1046,1,교하로또판매점,경기,파주시,경기 파주시  파주로 266 아이비타워108호,자동,37.7261,126.71821,14120118
1046,1,신나는복권방,경기,파주시,경기 파주시  문향로 51-1,수동,37.85652,126.78517,14140510
1046,1,세븐일레븐용인남사점,경기,용인시 처인구,경기 용인시 처인구  어진로 571,자동,37.108214,127.17114,14141503
1046,1,로또복권방,경기,수원시 장안구,경기 수원시 장안구  경수대로 1080,자동,37.30952,126.994525,14110240
1046,1,행복복권방,경기,성남시 수정구,경기 성남시 수정구  성남대로1250번길 9-1 1층 (태평동),반자동,37.441729,127.128499,14141280
1046,1,김포로또,경기,김포시,경기 김포시  돌문로 48 한솔프라자101,자동,37.619414,126.71805,14110186
1046,1,신불당로또,충남,천안시 서북구,충남 천안시 서북구  불당21로 40 501동 지1층 B143호,자동,36.813257,127.10448,14430011
1046,1,행운마트,충남,아산시,충남 아산시  서해로 654,수동,36.881931,126.91073,14410121
1046,1,희망복권방,전남,나주시,전남 나주시  풍물시장1길 3,자동,34.992633,126.70946,14610087
1047,1,복권소매,서울,금천구,서울 금천구  가산로5길 77 1층,수동,37.473742,126.890451,11110076
1047,1,벼락부자복권,대구,달서구,대구 달서구  죽전길 149 1층 복권방,자동,35.858305,128.54003,12740102
1047,1,아이러브마트복권방,울산,중구,울산 중구  유곡로 19-1,자동,35.556361,129.30722,13190041
1047,1,교하로또판매점,경기,파주시,경기 파주시  파주로 266 아이비타워108호,자동,37.7261,126.71821,14120118
1047,1,세민,경기,부천시,경기 부천시  중동로 147 1층,수동,37.492941,126.76667,14100776
1047,1,동덕로또방,충남,아산시,충남 아산시  시장남길 26,자동,36.782609,127.00327,14410014
1047,1,로또명당인주점,충남,아산시,충남 아산시  서해로 519-2,자동,36.877624,126.89693,14410015
1047,1,로또판매점,경북,상주시,경북 상주시  상서문로 59,자동,36.415231,128.15586,14710074
1047,1,행운복권,경남,사천시,경남 사천시  새시장길 12,수동,34.931448,128.07859,14840309
1048,1,로또 光복권,서울,구로구,서울 구로구  개봉로23가길 37,자동,37.495254,126.85834,11130022
1048,1,나래전산,부산,부산진구,부산 부산진구  전포대로 294 101호,수동,35.162949,129.06559,12600096
1048,1,상록로또,인천,계양구,인천 계양구  장제로 718 상록메디컬센터,자동,37.531838,126.73428,12840031
1048,1,씨유(CU)화목화성점,광주,서구,광주 서구  쌍촌로 29 CU편의점내,수동,35.147545,126.86478,12900085
1048,1,중흥마트,광주,북구,광주 북구  문산로 30 중흥2차 아파트상가 1층,자동,35.184678,126.92274,12900060
1048,1,광주도서유통,광주,남구,광주 남구  봉선1로 79 북소리,자동,35.128153,126.913888,12900121
1048,1,금손로또방,경기,의정부시,경기 의정부시  시민로121번길 34-5 1층(의정부동),자동,37.739859,127.04965,14141906
1048,1,로또휴게실,경기,용인시 기흥구,경기 용인시 기흥구  용구대로 1885,자동,37.256442,127.10428,14110105
1048,1,단비,경기,시흥시,경기 시흥시  다솜마을2길 1 상가101호,자동,37.350234,126.739862,14141382
1048,1,로또복권명성,경기,구리시,경기 구리시  검배로72번길 11-4 1층,수동,37.595311,127.14606,14141712
1048,1,대박슈퍼,세종,,세종   행복10길 3 1층 101호,수동,36.60351,127.2912,14410113
1048,1,운수대통복권샵,전북,전주시 완산구,전북 전주시 완산구  중화산로 101,자동,35.819526,127.117928,14510084
1048,1,삼례로또복권,전북,완주군,전북 완주군  동학로 32,자동,35.910628,127.074874,14510026
1048,1,금진슈퍼,전남,여수시,전남 여수시  좌수영로 11,자동,34.741381,127.72764,14600048
1048,1,구담쌀슈퍼,경북,안동시,경북 안동시  경동로 908,자동,36.556991,128.75452,14700084
1048,1,삼계복권전문점,경남,창원시 마산회원구,경남 창원시 마산회원구  경남대로 915,자동,35.231862,128.50467,14810069
1048,1,제주대림점,제주,제주시,제주 제주시  과원북2길 48,자동,33.478722,126.4876,14900009
1049,1,성호하우징,서울,서대문구,서울 서대문구  증가로 53 1층,자동,37.572447,126.92872,11140882
1049,1,천하명당로또복권,서울,서대문구,서울 서대문구  세무서길 12,자동,37.588523,126.94564,11110718
1049,1,로또대박,부산,북구,부산 북구  금곡대로 270 상가동 110호,수동,35.232371,129.01389,12610102
1049,1,돈벼락맞는곳,부산,동구,부산 동구  조방로49번길 18-1,자동,35.139161,129.05993,12600086
1049,1,초원복권 신창점,광주,광산구,광주 광산구  신창로 76 1층,자동,35.191992,126.83728,12910074
1049,1,럭키로또,경기,이천시,경기 이천시  이섭대천로 1226 1층,자동,37.279677,127.447,14190012
1049,1,한아름 복권,경기,김포시,경기 김포시  장차로 19 102호,수동,37.60372,126.77057,14140641
1049,1,탑,강원,원주시,강원 원주시  천사로 94 1층,자동,37.348156,127.93565,14240106
1049,1,광양복권나라(로터리),전남,광양시,전남 광양시  백운로 1,자동,34.971231,127.58976,14690007
1049,1,복권명당,경북,김천시,경북 김천시  용암로 2,수동,36.119881,128.12768,14700047
1049,1,행복복권방,경남,창원시 의창구,경남 창원시 의창구  팔용로 399,자동,35.252863,128.61056,14890036
1049,1,천하명당,경남,양산시,경남 양산시  연호로 46 복권판매점,수동,35.415706,129.17524,14800155
1049,1,로또판매점,경남,거제시,경남 거제시  중곡로3길 46 1층,자동,34.893743,128.62582,14840123
1049,1,동홍코사마트,제주,서귀포시,제주 서귀포시  동홍서로 108,수동,33.258666,126.56966,14910009
1049,1,동홍코사마트,제주,서귀포시,제주 서귀포시  동홍서로 108,수동,33.258666,126.56966,14910009
1050,1,짱복권,서울,종로구,서울 종로구  종로 269 삼신빌딩 1층,수동,37.571328,127.00789,11100123
1050,1,오케이상사,서울,서초구,서울 서초구  신반포로 176 센트럴시티내100호매점,자동,37.504354,127.003597,11100988
1050,1,행운드림복권방,서울,동대문구,서울 동대문구  천호대로69길 12 골든메카,자동,37.568473,127.05191,11140238
1050,1,복권천국,부산,서구,부산 서구  구덕로 207-1,자동,35.103183,129.01972,12600067
1050,1,복권천국,대구,북구,대구 북구  관음중앙로25길 3,자동,35.944691,128.54534,12710096
1050,1,복권명당,대구,동구,대구 동구  동촌로 36,자동,35.890012,128.6468,12790004
1050,1,라이프마트,인천,중구,인천 중구  연안부두로53번길 36 5호,자동,37.452608,126.60407,12890069
1050,1,행운마트,인천,동구,인천 동구  송림로 71-1,자동,37.475443,126.64273,12890054
1050,1,영화유통(1등복권방),울산,남구,울산 남구  신정로 19 삼성아파트 상가 204-101,자동,35.534272,129.32176,13190001
1050,1,복권백화점,경기,파주시,경기 파주시  평화로 70,수동,37.763647,126.76994,14100195
1050,1,세븐일레븐 중동현대점,경기,부천시,경기 부천시  석천로183번길  35 102호,자동,37.503924,126.76111,14140698
1050,1,진평양행,강원,강릉시,강원 강릉시  임영로 107,자동,37.751254,128.89409,14290014
1050,1,로또방,충북,증평군,충북 증평군  중앙로 176,수동,36.782046,127.579178,14340086
1050,1,복권명당(이마트24 온천대로점),충남,아산시,충남 아산시  곡교천로 161 101호,자동,36.795351,126.99697,14440086
1050,1,행운복권방 보생당건강원,전북,익산시,전북 익산시  무왕로 1268,자동,35.960347,126.99724,14510011
1050,1,CU(구평희망점),경북,구미시,경북 구미시  인동46길 5 cu 구평희망점,자동,36.092691,128.440765,24700023
1050,1,삼삼마트,경남,진주시,경남 진주시  진주대로 1165-1,자동,35.195262,128.0756,14800157
1051,1,장보고복권방,서울,중랑구,서울 중랑구  면목로 288,자동,37.578381,127.08622,11101531
